as_of_date,holding_days,ticker,composite_score,return_value
2024-06-30,30,PFC.NS,5.204,14.89
2024-06-30,30,RECLTD.NS,4.4188,22.23
2024-06-30,30,INDUSTOWER.NS,3.087,19.05
2024-06-30,30,BHARTIARTL.NS,2.7792,1.82
2024-06-30,30,LTIM.NS,2.5296,5.34
2024-06-30,30,IRFC.NS,2.0866,12.46
2024-06-30,30,POLYCAB.NS,1.445,-0.4
2024-06-30,30,TCS.NS,1.3161,12.07
2024-06-30,30,WIPRO.NS,1.248,1.29
2024-06-30,30,RKEC.NS,0.9037,4.84
2024-06-30,30,DRREDDY.NS,-0.1627,6.28
2024-06-30,30,AKG.NS,-1.8856,2.91
2024-06-30,30,INFY.NS,-3.0017,19.81
2024-06-30,30,RSSOFTWARE.NS,-3.4301,19.56
2024-06-30,30,GEEKAYWIRE.NS,-5.3243,6.24
2024-06-30,30,VISHWARAJ.NS,-11.2137,-0.77
2024-06-30,90,PFC.NS,5.204,1.69
2024-06-30,90,RECLTD.NS,4.4188,6.18
2024-06-30,90,INDUSTOWER.NS,3.087,4.6
2024-06-30,90,BHARTIARTL.NS,2.7792,19.05
2024-06-30,90,LTIM.NS,2.5296,15.96
2024-06-30,90,IRFC.NS,2.0866,-8.33
2024-06-30,90,POLYCAB.NS,1.445,3.68
2024-06-30,90,TCS.NS,1.3161,9.59
2024-06-30,90,WIPRO.NS,1.248,5.17
2024-06-30,90,RKEC.NS,0.9037,5.53
2024-06-30,90,DRREDDY.NS,-0.1627,5.46
2024-06-30,90,AKG.NS,-1.8856,-11.26
2024-06-30,90,INFY.NS,-3.0017,19.71
2024-06-30,90,RSSOFTWARE.NS,-3.4301,12.36
2024-06-30,90,GEEKAYWIRE.NS,-5.3243,21.16
2024-06-30,90,VISHWARAJ.NS,-11.2137,22.69
2024-06-30,180,PFC.NS,5.204,-5.12
2024-06-30,180,RECLTD.NS,4.4188,-2.09
2024-06-30,180,INDUSTOWER.NS,3.087,-12.19
2024-06-30,180,BHARTIARTL.NS,2.7792,11.41
2024-06-30,180,LTIM.NS,2.5296,5.79
2024-06-30,180,IRFC.NS,2.0866,-15.09
2024-06-30,180,POLYCAB.NS,1.445,6.57
2024-06-30,180,TCS.NS,1.3161,7.19
2024-06-30,180,WIPRO.NS,1.248,20.07
2024-06-30,180,RKEC.NS,0.9037,-19.13
2024-06-30,180,DRREDDY.NS,-0.1627,8.51
2024-06-30,180,AKG.NS,-1.8856,-19.07
2024-06-30,180,INFY.NS,-3.0017,23.73
2024-06-30,180,RSSOFTWARE.NS,-3.4301,-21.14
2024-06-30,180,GEEKAYWIRE.NS,-5.3243,10.36
2024-06-30,180,VISHWARAJ.NS,-11.2137,-10.7
2024-09-30,30,GEEKAYWIRE.NS,6.1659,-5.15
2024-09-30,30,VISHWARAJ.NS,4.0093,-18.96
2024-09-30,30,BHARTIARTL.NS,3.7261,-4.46
2024-09-30,30,LTIM.NS,3.4334,-6.88
2024-09-30,30,POLYCAB.NS,3.1087,-8.06
2024-09-30,30,INFY.NS,1.9194,-2.82
2024-09-30,30,TCS.NS,1.7979,-4.07
2024-09-30,30,RECLTD.NS,1.0409,-3.65
2024-09-30,30,WIPRO.NS,0.602,4.4
2024-09-30,30,INDUSTOWER.NS,0.1814,-12.69
2024-09-30,30,PFC.NS,-1.2462,-5.0
2024-09-30,30,SALASAR.NS,-2.3945,-6.48
2024-09-30,30,RSSOFTWARE.NS,-2.4694,-4.01
2024-09-30,30,DRREDDY.NS,-4.0077,-7.44
2024-09-30,30,IRFC.NS,-4.0587,-2.0
2024-09-30,30,RKEC.NS,-4.1106,-6.39
2024-09-30,30,AKG.NS,-7.698,-5.52
2024-09-30,90,GEEKAYWIRE.NS,6.1659,-10.48
2024-09-30,90,VISHWARAJ.NS,4.0093,-27.26
2024-09-30,90,BHARTIARTL.NS,3.7261,-7.17
2024-09-30,90,LTIM.NS,3.4334,-9.32
2024-09-30,90,POLYCAB.NS,3.1087,4.72
2024-09-30,90,INFY.NS,1.9194,2.78
2024-09-30,90,TCS.NS,1.7979,-2.33
2024-09-30,90,RECLTD.NS,1.0409,-9.78
2024-09-30,90,WIPRO.NS,0.602,12.18
2024-09-30,90,INDUSTOWER.NS,0.1814,-13.37
2024-09-30,90,PFC.NS,-1.2462,-9.09
2024-09-30,90,SALASAR.NS,-2.3945,-26.57
2024-09-30,90,RSSOFTWARE.NS,-2.4694,-26.3
2024-09-30,90,DRREDDY.NS,-4.0077,1.97
2024-09-30,90,IRFC.NS,-4.0587,-2.86
2024-09-30,90,RKEC.NS,-4.1106,-27.13
2024-09-30,90,AKG.NS,-7.698,-10.0
2024-09-30,180,GEEKAYWIRE.NS,6.1659,-28.48
2024-09-30,180,VISHWARAJ.NS,4.0093,-56.48
2024-09-30,180,BHARTIARTL.NS,3.7261,0.85
2024-09-30,180,LTIM.NS,3.4334,-28.87
2024-09-30,180,POLYCAB.NS,3.1087,-26.64
2024-09-30,180,INFY.NS,1.9194,-17.69
2024-09-30,180,TCS.NS,1.7979,-16.41
2024-09-30,180,RECLTD.NS,1.0409,-22.81
2024-09-30,180,WIPRO.NS,0.602,-1.07
2024-09-30,180,INDUSTOWER.NS,0.1814,-10.22
2024-09-30,180,PFC.NS,-1.2462,-14.92
2024-09-30,180,SALASAR.NS,-2.3945,-49.2
2024-09-30,180,RSSOFTWARE.NS,-2.4694,-74.39
2024-09-30,180,DRREDDY.NS,-4.0077,-14.67
2024-09-30,180,IRFC.NS,-4.0587,-20.71
2024-09-30,180,RKEC.NS,-4.1106,-46.66
2024-09-30,180,AKG.NS,-7.698,-36.02
2024-12-31,30,DRREDDY.NS,5.8151,-13.97
2024-12-31,30,BHARTIARTL.NS,5.5152,3.34
2024-12-31,30,INDUSTOWER.NS,3.6584,1.11
2024-12-31,30,WIPRO.NS,2.5665,4.4
2024-12-31,30,RECLTD.NS,2.0538,-12.05
2024-12-31,30,PFC.NS,1.821,-7.76
2024-12-31,30,TCS.NS,1.4602,0.37
2024-12-31,30,POLYCAB.NS,1.4469,-20.4
2024-12-31,30,AETHER.NS,0.7887,-7.33
2024-12-31,30,IRFC.NS,0.7795,-0.54
2024-12-31,30,INFY.NS,0.682,-1.07
2024-12-31,30,VISHWARAJ.NS,-0.4239,-1.88
2024-12-31,30,GEEKAYWIRE.NS,-1.0493,-13.31
2024-12-31,30,LTIM.NS,-2.7349,4.55
2024-12-31,30,RKEC.NS,-4.0184,-7.68
2024-12-31,30,AKG.NS,-4.141,-2.18
2024-12-31,30,SALASAR.NS,-5.5469,-13.89
2024-12-31,30,RSSOFTWARE.NS,-8.6729,-23.73
2024-12-31,90,DRREDDY.NS,5.8151,-17.02
2024-12-31,90,BHARTIARTL.NS,5.5152,8.59
2024-12-31,90,INDUSTOWER.NS,3.6584,3.12
2024-12-31,90,WIPRO.NS,2.5665,-11.27
2024-12-31,90,RECLTD.NS,2.0538,-15.16
2024-12-31,90,PFC.NS,1.821,-8.1
2024-12-31,90,TCS.NS,1.4602,-13.08
2024-12-31,90,POLYCAB.NS,1.4469,-29.84
2024-12-31,90,AETHER.NS,0.7887,-7.01
2024-12-31,90,IRFC.NS,0.7795,-16.02
2024-12-31,90,INFY.NS,0.682,-18.8
2024-12-31,90,VISHWARAJ.NS,-0.4239,-40.5
2024-12-31,90,GEEKAYWIRE.NS,-1.0493,-20.61
2024-12-31,90,LTIM.NS,-2.7349,-20.75
2024-12-31,90,RKEC.NS,-4.0184,-27.46
2024-12-31,90,AKG.NS,-4.141,-28.08
2024-12-31,90,SALASAR.NS,-5.5469,-32.58
2024-12-31,90,RSSOFTWARE.NS,-8.6729,-66.9
2024-12-31,180,DRREDDY.NS,5.8151,-7.58
2024-12-31,180,BHARTIARTL.NS,5.5152,26.57
2024-12-31,180,INDUSTOWER.NS,3.6584,23.2
2024-12-31,180,WIPRO.NS,2.5665,-10.13
2024-12-31,180,RECLTD.NS,2.0538,-18.11
2024-12-31,180,PFC.NS,1.821,-2.46
2024-12-31,180,TCS.NS,1.4602,-14.5
2024-12-31,180,POLYCAB.NS,1.4469,-9.41
2024-12-31,180,AETHER.NS,0.7887,-14.12
2024-12-31,180,IRFC.NS,0.7795,-4.32
2024-12-31,180,INFY.NS,0.682,-13.6
2024-12-31,180,VISHWARAJ.NS,-0.4239,-33.51
2024-12-31,180,GEEKAYWIRE.NS,-1.0493,-28.65
2024-12-31,180,LTIM.NS,-2.7349,-3.95
2024-12-31,180,RKEC.NS,-4.0184,-12.42
2024-12-31,180,AKG.NS,-4.141,-21.42
2024-12-31,180,SALASAR.NS,-5.5469,-46.97
2024-12-31,180,RSSOFTWARE.NS,-8.6729,-61.44
2025-03-31,30,BHARTIARTL.NS,5.7958,7.56
2025-03-31,30,PFC.NS,5.1687,-1.65
2025-03-31,30,RECLTD.NS,4.8284,-2.12
2025-03-31,30,BHARTIHEXA.NS,4.4538,15.39
2025-03-31,30,AADHARHFC.NS,3.8806,9.93
2025-03-31,30,SRM.NS,3.0371,-3.1
2025-03-31,30,TCS.NS,2.3314,-4.23
2025-03-31,30,INDUSTOWER.NS,2.3268,22.11
2025-03-31,30,AETHER.NS,1.7618,-3.09
2025-03-31,30,INDGN.NS,1.6554,-5.32
2025-03-31,30,AWFIS.NS,0.9839,-3.3
2025-03-31,30,VISHWARAJ.NS,0.6895,13.07
2025-03-31,30,POLYCAB.NS,0.3637,7.23
2025-03-31,30,GODIGIT.NS,0.2469,-1.28
2025-03-31,30,IRFC.NS,-0.0869,0.04
2025-03-31,30,WIPRO.NS,-0.0895,-7.91
2025-03-31,30,DRREDDY.NS,-0.2658,3.47
2025-03-31,30,INFY.NS,-0.5464,-4.49
2025-03-31,30,GEEKAYWIRE.NS,-1.0925,-4.05
2025-03-31,30,TBOTEK.NS,-1.4725,-6.83
2025-03-31,30,JGCHEM.NS,-2.0713,8.61
2025-03-31,30,LTIM.NS,-2.5813,2.12
2025-03-31,30,RKEC.NS,-3.9208,12.74
2025-03-31,30,SALASAR.NS,-5.253,5.27
2025-03-31,30,AKG.NS,-5.2743,3.53
2025-03-31,30,RSSOFTWARE.NS,-14.8695,-5.09
2025-03-31,90,BHARTIARTL.NS,5.7958,15.93
2025-03-31,90,PFC.NS,5.1687,3.69
2025-03-31,90,RECLTD.NS,4.8284,-6.24
2025-03-31,90,BHARTIHEXA.NS,4.4538,33.4
2025-03-31,90,AADHARHFC.NS,3.8806,7.0
2025-03-31,90,SRM.NS,3.0371,54.32
2025-03-31,90,TCS.NS,2.3314,-3.14
2025-03-31,90,INDUSTOWER.NS,2.3268,25.96
2025-03-31,90,AETHER.NS,1.7618,-8.33
2025-03-31,90,INDGN.NS,1.6554,-0.33
2025-03-31,90,AWFIS.NS,0.9839,-3.01
2025-03-31,90,VISHWARAJ.NS,0.6895,25.63
2025-03-31,90,POLYCAB.NS,0.3637,27.97
2025-03-31,90,GODIGIT.NS,0.2469,24.44
2025-03-31,90,IRFC.NS,-0.0869,13.9
2025-03-31,90,WIPRO.NS,-0.0895,1.42
2025-03-31,90,DRREDDY.NS,-0.2658,12.16
2025-03-31,90,INFY.NS,-0.5464,3.42
2025-03-31,90,GEEKAYWIRE.NS,-1.0925,-5.86
2025-03-31,90,TBOTEK.NS,-1.4725,16.1
2025-03-31,90,JGCHEM.NS,-2.0713,34.91
2025-03-31,90,LTIM.NS,-2.5813,19.45
2025-03-31,90,RKEC.NS,-3.9208,26.76
2025-03-31,90,SALASAR.NS,-5.253,-7.84
2025-03-31,90,AKG.NS,-5.2743,12.76
2025-03-31,90,RSSOFTWARE.NS,-14.8695,14.55
